Name,Sex,Age,Height,Weight,Team,Year,Season,City,Sport,Event,Medal
Lee Capes (-Nobbs),F,26,170,60,Australia,1988,Summer,Seoul,Hockey,Hockey Women's Hockey,Gold
Michelle Edith Capes-Hager,F,21,167,62,Australia,1988,Summer,Seoul,Hockey,Hockey Women's Hockey,Gold
Sally May Carbon (-Bell),F,21,165,59,Australia,1988,Summer,Seoul,Hockey,Hockey Women's Hockey,Gold
Sara Maree Carrigan,F,23,168,60,Australia,2004,Summer,Athina,Cycling,"Cycling Women's Road Race, Individual",Gold
Charlotte Caslick,F,21,172,65,Australia,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,Gold
Naomi Sandra Castle,F,26,180,72,Australia,2000,Summer,Sydney,Water Polo,Water Polo Women's Water Polo,Gold
Kyle Chalmers,M,18,193,90,Australia,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 100 metres Freestyle,Gold
Gary Arthur Chapman,M,19,,,Australia,1956,Summer,Melbourne,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
"Andrew Murray ""Boy"" Charlton",M,16,183,,Australia,1924,Summer,Paris,Swimming,"Swimming Men's 1,500 metres Freestyle",Gold
Emilee Cherry,F,23,168,70,Australia,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,Gold
Jacob Clear,M,27,185,86,Australia,2012,Summer,London,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
"Elspeth Catherine Clement (Swain-, -Denning)",F,31,163,56,Australia,1988,Summer,Seoul,Hockey,Hockey Women's Hockey,Gold
Andrew Dollman Cooper,M,27,188,92,Australia,1992,Summer,Barcelona,Rowing,Rowing Men's Coxless Fours,Gold
"Bradford Paul ""Brad"" Cooper",M,18,160,72,Australia,1972,Summer,Munich,Swimming,Swimming Men's 400 metres Freestyle,Gold
Alicia Jayne Coutts,F,24,176,69,Australia,2012,Summer,London,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
Lionel Malvyne Cox,M,22,,,Australia,1952,Summer,Helsinki,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Gold
Brian John Crago,M,34,171,67,Australia,1960,Summer,Roma,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Gold
Lorraine Joyce Crapp (-Thurlow),F,18,167,,Australia,1956,Summer,Melbourne,Swimming,Swimming Women's 400 metres Freestyle,Gold
Lorraine Joyce Crapp (-Thurlow),F,18,167,,Australia,1956,Summer,Melbourne,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
David William Crawshay,M,28,191,89,Australia,2008,Summer,Beijing,Rowing,Rowing Men's Double Sculls,Gold
